Release Date	Movie	Production Budget	Domestic Gross	Worldwide Gross
8/25/00	The Crew	$23,000,000 	$13,019,253 	$13,019,253 
12/20/96	Marvin's Room	$23,000,000 	$12,803,305 	$12,803,305 
1/9/04	Chasing Liberty	$23,000,000 	$12,189,514 	$12,291,975 
8/22/08	The Longshots	$23,000,000 	$11,511,323 	$11,742,143 
12/3/99	The End of the Affair	$23,000,000 	$10,660,147 	$10,660,147 
8/23/91	Harley Davidson and the Marlboro Man	$23,000,000 	$7,018,525 	$7,018,525 
9/14/07	In the Valley of Elah	$23,000,000 	$6,777,741 	$24,489,150 
9/25/09	Coco avant Chanel	$23,000,000 	$6,113,834 	$50,813,834 
6/26/09	Cheri	$23,000,000 	$2,715,657 	$2,715,657 
12/31/09	Shi Yue Wei Cheng	$23,000,000 	$0 	$44,195,779 
6/24/87	Spaceballs	$22,700,000 	$38,119,483 	$38,119,483 
6/22/07	1408	$22,500,000 	$71,985,628 	$131,263,370 
7/13/90	Ghost	$22,000,000 	$217,631,306 	$517,600,000 
7/15/98	There's Something About Mary	$22,000,000 	$176,484,651 	$360,099,999 
11/11/94	The Santa Clause	$22,000,000 	$144,833,357 	$189,800,000 
9/22/07	The Game Plan	$22,000,000 	$90,648,202 	$146,590,987 
3/29/02	The Rookie	$22,000,000 	$75,600,072 	$80,484,234 
6/2/95	The Bridges of Madison County	$22,000,000 	$71,516,617 	$175,516,617 
6/1/01	The Animal	$22,000,000 	$55,762,229 	$55,762,229 
12/8/82	Gandhi	$22,000,000 	$52,767,889 	$52,767,889 
9/19/03	Underworld	$22,000,000 	$51,970,690 	$95,708,457 
7/28/95	The Net	$22,000,000 	$50,621,733 	$110,521,733 
8/3/12	Diary of a Wimpy Kid: Dog Days	$22,000,000 	$49,008,662 	$77,229,695 
12/28/01	I Am Sam	$22,000,000 	$40,270,895 	$40,270,895 
11/11/05	Derailed	$22,000,000 	$36,020,063 	$57,520,063 
9/18/09	The Informant	$22,000,000 	$33,316,821 	$41,771,168 
11/22/13	Delivery Man	$22,000,000 	$30,079,250 	$35,837,439 
8/24/01	Jay and Silent Bob Strike Back	$22,000,000 	$30,059,386 	$33,762,400 
12/29/93	Shadowlands	$22,000,000 	$25,842,377 	$25,842,377 
8/27/08	Traitor	$22,000,000 	$23,530,831 	$27,664,173 
8/12/05	Deuce Bigalow: European Gigolo	$22,000,000 	$22,400,154 	$44,400,154 
2/9/01	Saving Silverman	$22,000,000 	$19,351,569 	$25,873,142 
7/2/99	Summer of Sam	$22,000,000 	$19,288,130 	$19,288,130 
9/14/01	The Glass House	$22,000,000 	$17,951,431 	$22,861,785 
6/13/80	The Island	$22,000,000 	$15,716,828 	$15,716,828 
4/11/01	Josie and the Pussycats	$22,000,000 	$14,252,830 	$14,252,830 
10/27/00	The Little Vampire	$22,000,000 	$13,555,988 	$13,555,988 
10/1/04	I Heart Huckabees	$22,000,000 	$12,784,713 	$20,034,713 
11/5/93	RoboCop 3	$22,000,000 	$10,696,210 	$10,696,210 
8/27/99	Dudley Do-Right	$22,000,000 	$9,818,792 	$9,818,792 
9/21/01	Megiddo: Omega Code 2	$22,000,000 	$6,047,691 	$6,047,691 
1/1/70	Darling Lili	$22,000,000 	$5,000,000 	$5,000,000 
11/23/05	The Libertine	$22,000,000 	$4,835,065 	$9,448,623 
4/6/07	Zwartboek	$22,000,000 	$4,398,532 	$26,798,532 
10/8/10	Stone	$22,000,000 	$1,810,078 	$4,065,020 
3/3/06	Joyeux Noël	$22,000,000 	$1,054,361 	$23,134,075 
6/24/77	The Sorcerer	$21,600,000 	$12,000,000 	$12,000,000 
7/27/07	Molière	$21,600,000 	$635,733 	$791,154 
10/5/07	Michael Clayton	$21,500,000 	$49,033,882 	$92,987,651 
7/9/99	Arlington Road	$21,500,000 	$24,419,219 	$24,419,219 
12/20/96	My Fellow Americans	$21,500,000 	$22,331,846 	$22,331,846 
11/16/12	Silver Linings Playbook	$21,000,000 	$132,092,958 	$227,317,397 
6/30/99	South Park: Bigger, Longer & Uncut	$21,000,000 	$52,037,603 	$52,037,603 
6/18/82	Firefox	$21,000,000 	$45,785,720 	$45,785,720 
4/16/10	Death at a Funeral	$21,000,000 	$42,739,347 	$48,977,233 
3/19/93	Teenage Mutant Ninja Turtles III	$21,000,000 	$42,273,609 	$42,273,609 
9/14/01	Hardball	$21,000,000 	$40,222,729 	$44,102,389 
11/5/10	For Colored Girls	$21,000,000 	$37,729,698 	$38,017,873 
1/5/07	Freedom Writers	$21,000,000 	$36,605,602 	$43,632,609 
10/11/02	The Transporter	$21,000,000 	$25,296,447 	$43,928,932 
3/14/08	Never Back Down	$21,000,000 	$24,850,922 	$39,319,801 
12/9/11	Tinker Tailor Soldier Spy	$21,000,000 	$24,149,393 	$81,452,811 
11/5/99	The Bachelor	$21,000,000 	$21,731,001 	$36,882,378 
3/12/99	The Rage: Carrie 2	$21,000,000 	$17,760,244 	$17,760,244 
8/1/08	Swing Vote	$21,000,000 	$16,289,867 	$17,589,867 
6/5/09	Away We Go	$21,000,000 	$9,451,946 	$10,108,016 
9/27/02	Moonlight Mile	$21,000,000 	$6,830,957 	$6,830,957 
5/6/11	The Beaver	$21,000,000 	$970,816 	$5,046,038 
10/22/99	Molly	$21,000,000 	$17,396 	$17,396 
4/23/99	eXistenZ	$20,700,000 	$2,840,417 	$2,840,417 
7/23/82	The Best Little Whorehouse in Texas	$20,500,000 	$69,701,637 	$69,701,637 
6/12/81	Raiders of the Lost Ark	$20,000,000 	$248,159,971 	$389,925,971 
11/13/91	Beauty and the Beast	$20,000,000 	$218,951,625 	$451,421,625 
11/20/92	Home Alone 2: Lost in New York	$20,000,000 	$173,585,516 	$358,994,850 
11/16/77	Close Encounters of the Third Kind	$20,000,000 	$166,000,000 	$337,700,000 
5/20/87	Beverly Hills Cop II	$20,000,000 	$153,665,036 	$276,665,036 
7/19/13	The Conjuring	$20,000,000 	$137,400,141 	$318,000,141 
3/7/03	Bringing Down the House	$20,000,000 	$132,675,402 	$164,675,402 
2/14/91	The Silence of the Lambs	$20,000,000 	$130,726,716 	$275,726,716 
2/14/92	Wayne's World	$20,000,000 	$121,697,323 	$183,097,323 
10/15/10	Jackass 3D	$20,000,000 	$117,229,692 	$171,685,793 
6/16/78	Jaws 2	$20,000,000 	$102,922,376 	$208,900,376 
10/3/08	Beverly Hills Chihuahua	$20,000,000 	$94,514,402 	$154,218,168 
1/21/05	Are We There Yet?	$20,000,000 	$82,674,398 	$97,918,663 
10/3/03	The School of Rock	$20,000,000 	$81,261,177 	$131,161,177 
4/13/07	Disturbia	$20,000,000 	$80,209,692 	$117,573,043 
8/18/95	Mortal Kombat	$20,000,000 	$70,433,227 	$122,133,227 
6/23/04	White Chicks	$20,000,000 	$69,148,997 	$111,448,997 
4/18/03	Holes	$20,000,000 	$67,383,924 	$72,383,924 
3/31/10	The Last Song	$20,000,000 	$62,950,384 	$92,678,948 
4/2/10	Why Did I Get Married Too?	$20,000,000 	$60,095,852 	$60,631,493 
12/13/02	Drumline	$20,000,000 	$56,398,162 	$56,398,162 
12/7/90	Edward Scissorhands	$20,000,000 	$53,976,987 	$53,976,987 
12/12/80	Popeye	$20,000,000 	$49,823,037 	$49,823,037 
2/17/06	Date Movie	$20,000,000 	$48,548,426 	$84,548,426 
2/15/02	Peter Pan: Return to Neverland	$20,000,000 	$48,430,258 	$109,862,682 
2/14/03	The Jungle Book 2	$20,000,000 	$47,901,582 	$135,703,599 
3/16/07	Premonition	$20,000,000 	$47,852,604 	$81,461,343 
2/4/05	Boogeyman	$20,000,000 	$46,752,382 	$67,192,859 
2/11/00	The Tigger Movie	$20,000,000 	$45,542,421 	$96,147,688 
3/21/08	Meet the Browns	$20,000,000 	$41,975,388 	$41,975,388 
1/26/07	Epic Movie	$20,000,000 	$39,739,367 	$86,858,578 
9/19/08	Lakeview Terrace	$20,000,000 	$39,263,506 	$44,663,506 
10/13/06	The Grudge 2	$20,000,000 	$39,143,839 	$70,743,839 
5/14/82	Conan the Barbarian	$20,000,000 	$38,264,085 	$79,114,085 
8/14/98	How Stella Got Her Groove Back	$20,000,000 	$37,672,944 	$37,672,944 
7/19/91	Bill & Ted's Bogus Journey	$20,000,000 	$37,537,675 	$37,537,675 
10/13/06	Man of the Year	$20,000,000 	$37,442,180 	$41,342,180 
12/21/79	The Black Hole	$20,000,000 	$35,841,901 	$35,841,901 
3/21/97	Selena	$20,000,000 	$35,450,113 	$35,450,113 
11/4/11	A Very Harold & Kumar 3D Christmas	$20,000,000 	$35,061,031 	$35,061,031 
3/19/04	Eternal Sunshine of the Spotless Mind	$20,000,000 	$34,366,518 	$72,993,444 
1/4/13	Texas Chainsaw 3D	$20,000,000 	$34,341,945 	$39,093,317 
10/27/06	Babel	$20,000,000 	$34,302,837 	$132,121,212 
12/12/08	Doubt	$20,000,000 	$33,446,470 	$50,946,957 
10/15/04	Team America: World Police	$20,000,000 	$32,774,834 	$50,274,834 
10/27/95	Copycat	$20,000,000 	$32,051,917 	$32,051,917 
4/12/13	Scary Movie 5	$20,000,000 	$32,015,787 	$63,461,314 
3/12/10	She's Out of My League	$20,000,000 	$32,010,860 	$48,680,977 
11/26/08	Milk	$20,000,000 	$31,841,299 	$57,293,371 
10/15/69	Paint Your Wagon	$20,000,000 	$31,678,778 	$31,678,778 
8/31/11	The Debt	$20,000,000 	$31,177,548 	$46,604,054 
10/25/02	Ghost Ship	$20,000,000 	$30,113,491 	$68,349,884 
1/8/10	Daybreakers	$20,000,000 	$30,101,577 	$51,401,577 
3/7/08	The Bank Job	$20,000,000 	$30,060,660 	$66,143,005 
3/20/98	Wild Things	$20,000,000 	$29,795,299 	$55,576,699 
10/16/09	The Stepfather	$20,000,000 	$29,062,561 	$29,227,561 
3/31/00	High Fidelity	$20,000,000 	$27,277,055 	$47,881,663 
4/28/06	Stick It	$20,000,000 	$26,910,736 	$30,399,714 
1/12/96	Eye for an Eye	$20,000,000 	$26,792,700 	$26,792,700 
4/11/08	Street Kings	$20,000,000 	$26,415,649 	$65,454,793 
8/23/13	The World's End	$20,000,000 	$26,004,851 	$46,577,859 
1/19/96	From Dusk Till Dawn	$20,000,000 	$25,728,961 	$25,728,961 
9/24/10	You Again	$20,000,000 	$25,702,053 	$31,202,053 
9/17/10	Alpha and Omega 3D	$20,000,000 	$25,107,267 	$48,958,353 
9/8/06	The Covenant	$20,000,000 	$23,364,784 	$38,164,784 
3/24/06	Stay Alive	$20,000,000 	$23,086,480 	$23,187,506 
10/7/05	2 For the Money	$20,000,000 	$22,991,379 	$30,491,379 
12/4/98	Psycho	$20,000,000 	$21,541,218 	$37,226,218 
10/19/90	Quigley Down Under	$20,000,000 	$21,413,105 	$21,413,105 
9/27/95	To Die For	$20,000,000 	$21,284,514 	$27,688,744 
10/30/98	Vampires	$20,000,000 	$20,268,825 	$20,268,825 
9/19/08	Appaloosa	$20,000,000 	$20,211,394 	$27,735,474 
8/13/04	Yu-Gi-Oh	$20,000,000 	$19,762,690 	$28,762,690 
3/23/07	Reign Over Me	$20,000,000 	$19,661,987 	$20,081,987 
9/19/08	My Best Friend's Girl	$20,000,000 	$19,219,250 	$34,787,111 
5/11/07	Georgia Rule	$20,000,000 	$18,882,880 	$20,819,601 
7/31/81	Under the Rainbow	$20,000,000 	$18,826,490 	$18,826,490 
4/12/85	Ladyhawke	$20,000,000 	$18,400,000 	$18,400,000 
9/21/07	Into the Wild	$20,000,000 	$18,354,356 	$56,395,211 
9/11/98	Simon Birch	$20,000,000 	$18,253,415 	$18,310,591 
2/11/05	Pooh's Heffalump Movie	$20,000,000 	$18,098,433 	$52,858,433 
9/29/06	School for Scoundrels	$20,000,000 	$17,807,569 	$17,807,569 
10/26/12	Silent Hill: Revelation 3D	$20,000,000 	$17,530,219 	$47,944,599 
11/3/95	Home for the Holidays	$20,000,000 	$17,468,887 	$22,119,269 
2/20/09	Fired Up	$20,000,000 	$17,231,291 	$18,608,570 
4/8/05	Kung Fu Hustle	$20,000,000 	$17,104,669 	$101,004,669 
7/26/02	The Country Bears	$20,000,000 	$16,988,996 	$16,988,996 
11/21/03	21 Grams	$20,000,000 	$16,248,701 	$57,174,060 
12/4/09	Armored	$20,000,000 	$15,988,876 	$23,661,038 
12/14/07	The Kite Runner	$20,000,000 	$15,800,078 	$74,180,745 
9/3/04	Paparazzi	$20,000,000 	$15,712,072 	$16,612,072 
1/17/03	A Guy Thing	$20,000,000 	$15,543,862 	$17,430,594 
2/15/65	The Greatest Story Ever Told	$20,000,000 	$15,473,333 	$15,473,333 
7/21/00	Loser	$20,000,000 	$15,464,026 	$18,250,106 
3/6/98	Twilight	$20,000,000 	$15,055,091 	$15,055,091 
9/23/09	Capitalism: A Love Story	$20,000,000 	$14,363,397 	$19,121,531 
8/29/08	Disaster Movie	$20,000,000 	$14,190,901 	$34,690,901 
9/30/11	What's Your Number?	$20,000,000 	$14,011,084 	$30,711,084 
11/14/97	The Man Who Knew Too Little	$20,000,000 	$13,801,755 	$13,801,755 
4/30/04	Envy	$20,000,000 	$13,548,322 	$14,566,246 
10/13/06	One Night with the King	$20,000,000 	$13,395,961 	$13,395,961 
9/19/08	Ghost Town	$20,000,000 	$13,252,641 	$26,612,350 
11/22/02	The Quiet American	$20,000,000 	$12,987,647 	$27,687,647 
10/28/05	The Weather Man	$20,000,000 	$12,482,775 	$15,466,961 
8/23/02	Undisputed	$20,000,000 	$12,398,628 	$12,398,628 
3/27/09	12 Rounds	$20,000,000 	$12,234,694 	$18,184,083 
10/1/10	Let Me In	$20,000,000 	$12,134,935 	$28,270,399 
5/6/94	3 Ninjas Kick Back	$20,000,000 	$11,744,960 	$11,744,960 
2/22/08	Be Kind Rewind	$20,000,000 	$11,175,164 	$30,894,247 
12/9/05	Mrs. Henderson Presents	$20,000,000 	$11,036,366 	$27,836,366 
12/12/97	Deconstructing Harry	$20,000,000 	$10,686,841 	$10,686,841 
10/22/99	Three to Tango	$20,000,000 	$10,570,375 	$10,570,375 
12/15/89	We're No Angels	$20,000,000 	$10,555,348 	$10,555,348 
12/6/96	Everyone Says I Love You	$20,000,000 	$9,725,847 	$34,600,000 
8/31/07	Death Sentence	$20,000,000 	$9,534,258 	$16,907,831 
12/4/09	Everybody's Fine	$20,000,000 	$9,208,876 	$9,208,876 
8/27/04	Super Babies: Baby Geniuses 2	$20,000,000 	$9,109,322 	$9,109,322 
9/20/13	Battle of the Year	$20,000,000 	$8,888,355 	$16,660,326 
8/17/07	Death at a Funeral	$20,000,000 	$8,580,428 	$46,790,428 
9/9/05	The Man	$20,000,000 	$8,330,720 	$10,393,696 
1/5/07	Code Name: The Cleaner	$20,000,000 	$8,135,024 	$8,135,024 
4/16/04	Connie & Carla	$20,000,000 	$8,047,525 	$8,047,525 
1/1/69	Sweet Charity	$20,000,000 	$8,000,000 	$8,000,000 
2/24/06	Doogal	$20,000,000 	$7,578,946 	$205,025,258 
9/16/05	Proof	$20,000,000 	$7,535,331 	$8,284,331 
10/3/08	An American Carol	$20,000,000 	$7,013,191 	$7,013,191 
3/14/03	Willard	$20,000,000 	$6,882,696 	$6,882,696 
12/17/99	Topsy Turvy	$20,000,000 	$6,201,757 	$6,201,757 
10/26/12	Chasing Mavericks	$20,000,000 	$6,002,756 	$8,300,821 
11/23/11	A Dangerous Method	$20,000,000 	$5,702,083 	$14,807,531 
7/7/06	A Scanner Darkly	$20,000,000 	$5,501,616 	$7,405,084 
8/14/09	Bandslam	$20,000,000 	$5,210,988 	$12,967,829 
1/28/05	Alone in the Dark	$20,000,000 	$5,178,569 	$8,178,569 
10/29/04	Birth	$20,000,000 	$5,005,899 	$14,603,001 
10/24/08	Passchendaele	$20,000,000 	$4,452,423 	$4,453,327 
11/21/07	I'm Not There	$20,000,000 	$4,017,609 	$11,498,547 
9/7/12	The Cold Light of Day	$20,000,000 	$3,763,583 	$12,425,385 
5/15/09	The Brothers Bloom	$20,000,000 	$3,531,756 	$5,531,756 
10/24/08	Synecdoche, New York	$20,000,000 	$3,083,538 	$4,383,538 
10/29/99	Mononoke-hime	$20,000,000 	$2,374,107 	$150,350,000 
3/19/04	Bon Voyage	$20,000,000 	$2,353,728 	$8,361,736 
1/1/80	Can't Stop the Music	$20,000,000 	$2,000,000 	$2,000,000 
8/22/03	Marci X	$20,000,000 	$1,646,664 	$1,646,664 
12/6/02	Equilibrium	$20,000,000 	$1,190,018 	$5,345,869 
4/29/11	Dylan Dog: Dead of Night	$20,000,000 	$1,186,538 	$6,090,697 
8/29/12	The Oogieloves in the BIG Balloon Adventure	$20,000,000 	$1,065,907 	$1,065,907 
5/23/08	The Children of Huang Shi	$20,000,000 	$1,031,872 	$5,527,507 
10/20/00	The Yards	$20,000,000 	$882,710 	$2,282,710 
12/3/10	All Good Things	$20,000,000 	$582,024 	$645,024 
3/18/05	Steamboy	$20,000,000 	$468,867 	$10,468,867 
4/22/05	The Game of Their Lives	$20,000,000 	$375,474 	$375,474 
9/11/94	Rapa Nui	$20,000,000 	$305,070 	$305,070 
12/10/10	The Tempest	$20,000,000 	$277,943 	$277,943 
3/7/08	CJ7	$20,000,000 	$206,678 	$47,300,771 
3/27/98	Couloirs du temps: Les visiteurs 2, Les	$20,000,000 	$146,072 	$26,146,072 
4/25/03	People I Know	$20,000,000 	$121,972 	$5,694,213 
12/31/08	Koltchak	$20,000,000 	$0 	$38,585,047 
4/13/10	Three Kingdoms: Resurrection of the Dragon	$20,000,000 	$0 	$22,139,590 
3/31/04	The Touch	$20,000,000 	$0 	$5,918,742 
12/31/10	Story of Bonnie and Clyde, The	$20,000,000 	$0 	$0 
12/31/07	Ramanujan	$20,000,000 	$0 	$0 
8/21/09	Der Baader Meinhof Komplex	$19,700,000 	$476,270 	$16,498,827 
12/20/06	The Painted Veil	$19,400,000 	$8,060,487 	$15,118,795 
8/23/13	The Frozen Ground	$19,200,000 	$0 	$0 
7/29/11	The Devil's Double	$19,100,000 	$1,361,512 	$2,406,666 
7/3/85	Back to the Future	$19,000,000 	$210,609,762 	$383,874,862 
11/9/90	Dances with Wolves	$19,000,000 	$184,208,842 	$424,200,000 
7/7/00	Scary Movie	$19,000,000 	$157,019,771 	$277,200,000 
6/24/11	Bad Teacher	$19,000,000 	$100,292,856 	$216,412,265 
1/10/03	Just Married	$19,000,000 	$56,127,162 	$56,127,162 
9/11/09	I Can Do Bad All By Myself	$19,000,000 	$51,733,921 	$51,733,921 
7/16/04	A Cinderella Story	$19,000,000 	$51,438,175 	$70,067,909 
5/23/80	The Shining	$19,000,000 	$44,017,374 	$44,017,374 
10/26/01	Thirteen Ghosts	$19,000,000 	$41,867,960 	$68,467,960 
10/29/99	House on Haunted Hill	$19,000,000 	$40,846,082 	$65,090,541 
2/26/10	The Crazies	$19,000,000 	$39,123,589 	$54,956,140 
1/16/09	Notorious	$19,000,000 	$36,843,682 	$44,475,155 
8/20/10	The Switch	$19,000,000 	$27,758,465 	$49,858,465 
1/8/10	Leap Year	$19,000,000 	$25,918,920 	$32,618,920 
11/8/13	The Book Thief	$19,000,000 	$20,303,110 	$31,603,110 
10/19/07	Gone, Baby, Gone	$19,000,000 	$20,300,218 	$34,619,699 
7/26/00	Thomas and the Magic Railroad	$19,000,000 	$15,911,332 	$15,911,332 
11/8/62	Mutiny on The Bounty	$19,000,000 	$13,680,000 	$13,680,000 
9/20/02	Sen to Chihiro no Kamikakushi	$19,000,000 	$10,049,886 	$274,949,886 
10/17/08	Sex Drive	$19,000,000 	$8,402,485 	$10,412,485 
1/9/98	Firestorm	$19,000,000 	$8,123,860 	$8,123,860 
1/1/64	The Fall of the Roman Empire	$19,000,000 	$4,750,000 	$4,750,000 
1/1/93	The Nutcracker	$19,000,000 	$2,119,994 	$2,119,994 
8/16/96	Kansas City	$19,000,000 	$1,353,824 	$1,353,824 
6/24/05	George A. Romero's Land of the Dead	$18,975,000 	$20,700,082 	$47,751,015 
12/15/06	Indigènes	$18,900,000 	$320,700 	$26,063,572 
4/15/05	The Amityville Horror	$18,500,000 	$65,233,369 	$109,175,673 
12/6/02	Adaptation	$18,500,000 	$22,498,520 	$22,498,520 
10/2/09	The Invention of Lying	$18,500,000 	$18,451,251 	$32,679,264 
5/22/98	Fear and Loathing in Las Vegas	$18,500,000 	$10,680,275 	$13,711,903 
2/2/01	Left Behind	$18,500,000 	$4,221,341 	$4,221,341 
11/3/06	Borat	$18,000,000 	$128,505,958 	$261,572,744 
7/29/94	The Mask	$18,000,000 	$119,920,129 	$351,620,129 
6/3/88	Big	$18,000,000 	$114,968,774 	$151,668,774 
7/13/01	Legally Blonde	$18,000,000 	$96,493,426 	$141,809,235 
4/30/04	Mean Girls	$18,000,000 	$86,047,227 	$130,953,026 
6/1/84	Star Trek III: The Search for Spock	$18,000,000 	$76,471,046 	$87,000,000 
9/9/05	The Exorcism of Emily Rose	$18,000,000 	$75,072,454 	$144,587,700 
12/10/99	Deuce Bigalow: Male Gigolo	$18,000,000 	$65,535,067 	$92,935,067 
2/6/04	Barbershop 2: Back in Business	$18,000,000 	$65,070,412 	$65,842,412 
12/16/05	The Family Stone	$18,000,000 	$60,062,868 	$91,762,868 
11/26/03	Bad Santa	$18,000,000 	$60,060,328 	$60,063,017 
6/12/87	Predator	$18,000,000 	$59,735,548 	$98,267,558 
5/2/97	Austin Powers: International Man of Mystery	$18,000,000 	$53,883,989 	$67,683,989 
3/25/11	Diary of a Wimpy Kid: Rodrick Rules	$18,000,000 	$52,698,535 	$73,695,194 
9/19/84	Amadeus	$18,000,000 	$51,973,029 	$51,973,029 
4/11/08	Prom Night	$18,000,000 	$43,869,350 	$57,109,687 
4/8/11	Soul Surfer	$18,000,000 	$43,853,424 	$47,158,652 
10/10/86	Peggy Sue Got Married	$18,000,000 	$41,382,841 	$41,382,841 
12/26/01	Gosford Park	$18,000,000 	$41,300,105 	$41,300,105 
1/11/02	Orange County	$18,000,000 	$41,059,716 	$43,308,707 
4/28/06	United 93	$18,000,000 	$31,567,134 	$77,719,869 
12/5/03	Honey	$18,000,000 	$30,272,254 	$62,192,232 
10/14/05	The Fog	$18,000,000 	$29,511,112 	$37,048,526 
5/24/96	Spy Hard	$18,000,000 	$26,936,265 	$26,936,265 
12/14/89	Glory	$18,000,000 	$26,593,580 	$26,593,580 
6/29/84	Conan the Destroyer	$18,000,000 	$26,400,000 	$26,400,000 
6/24/70	Catch-22	$18,000,000 	$24,911,670 	$24,911,670 
11/14/80	Raging Bull	$18,000,000 	$23,380,203 	$23,380,203 
9/18/09	Love Happens	$18,000,000 	$22,965,110 	$35,365,110 
9/25/09	Fame	$18,000,000 	$22,455,510 	$77,956,957 
12/4/85	Young Sherlock Holmes	$18,000,000 	$19,739,000 	$19,739,000 
11/5/10	127 Hours	$18,000,000 	$18,335,230 	$60,735,230 
5/19/00	Small Time Crooks	$18,000,000 	$17,266,359 	$29,934,477 
5/12/00	Center Stage	$18,000,000 	$17,200,925 	$17,200,925 
2/6/04	Catch That Kid	$18,000,000 	$16,703,799 	$16,930,762 
8/16/13	Jobs	$18,000,000 	$16,131,410 	$26,131,410 
10/26/01	Life as a House	$18,000,000 	$15,652,637 	$23,889,158 
1/8/10	Youth in Revolt	$18,000,000 	$15,285,588 	$19,685,588 
7/10/09	I Love You, Beth Cooper	$18,000,000 	$14,800,725 	$16,382,538 
7/24/81	Blow Out	$18,000,000 	$13,747,234 	$13,747,234 
3/30/01	Tailor of Panama	$18,000,000 	$13,491,653 	$27,491,653 
5/22/81	The Legend of the Lone Ranger	$18,000,000 	$13,400,000 	$13,400,000 
8/30/13	Getaway	$18,000,000 	$10,501,938 	$10,501,938 
9/26/97	The Ice Storm	$18,000,000 	$8,038,061 	$16,011,975 
10/15/04	Being Julia	$18,000,000 	$7,739,049 	$14,488,705 
3/22/89	Troop Beverly Hills	$18,000,000 	$7,190,505 	$7,190,505 
2/21/86	Nine 1/2 Weeks	$18,000,000 	$6,734,844 	$6,734,844 
1/15/10	The Last Station	$18,000,000 	$6,617,867 	$15,696,146 
6/26/81	Dragonslayer	$18,000,000 	$6,000,000 	$6,000,000 
9/30/94	Ed Wood	$18,000,000 	$5,828,466 	$5,828,466 
10/8/08	RocknRolla	$18,000,000 	$5,700,626 	$27,794,339 
6/25/82	Megaforce	$18,000,000 	$5,675,599 	$5,675,599 
8/20/10	Mao's Last Dancer	$18,000,000 	$4,806,750 	$12,949,849 
12/25/96	Hamlet	$18,000,000 	$4,501,094 	$7,129,670 
12/29/95	Restoration	$18,000,000 	$4,100,000 	$4,100,000 
9/19/03	Anything Else	$18,000,000 	$3,203,044 	$13,203,044 
2/23/96	Unforgettable	$18,000,000 	$2,483,790 	$2,483,790 
12/30/09	Das Weisse Band: Eine deutsche Kindergeschichte	$18,000,000 	$2,222,862 	$25,727,044 
4/26/02	The Salton Sea	$18,000,000 	$676,698 	$676,698 
4/24/09	The Informers	$18,000,000 	$315,000 	$315,000 
9/24/99	One Man's Hero	$18,000,000 	$229,311 	$229,311 
10/15/10	Carlos	$18,000,000 	$145,526 	$145,526 
12/31/08	I Come with the Rain	$18,000,000 	$0 	$627,422 
4/8/08	Day of the Dead	$18,000,000 	$0 	$0 
6/28/85	Red Sonja	$17,900,000 	$6,905,861 	$6,905,861 
8/17/07	Superbad	$17,500,000 	$121,463,226 	$169,863,226 
2/20/09	Madea Goes To Jail	$17,500,000 	$90,508,336 	$90,508,336 
2/14/08	Step Up 2 the Streets	$17,500,000 	$58,017,783 	$148,586,910 
12/16/05	Hoodwinked	$17,500,000 	$51,386,611 	$109,843,390 
11/21/07	Hitman	$17,500,000 	$39,687,694 	$99,965,792 
12/22/04	Hotel Rwanda	$17,500,000 	$23,519,128 	$36,521,223 
11/27/13	Black Nativity	$17,500,000 	$7,018,188 	$7,018,188 
4/25/03	City of Ghosts	$17,500,000 	$325,491 	$325,491 
8/10/01	The Others	$17,000,000 	$96,522,687 	$209,947,037 
7/18/86	Aliens	$17,000,000 	$85,160,248 	$183,316,455 
10/17/97	I Know What You Did Last Summer	$17,000,000 	$72,250,091 	$125,250,091 
10/22/64	My Fair Lady	$17,000,000 	$72,000,000 	$72,000,000 
10/22/04	Sideways	$17,000,000 	$71,502,303 	$109,874,155 
11/15/13	The Best Man Holiday	$17,000,000 	$70,525,195 	$71,625,195 
2/13/09	Friday the 13th	$17,000,000 	$65,002,019 	$91,700,771 
9/28/12	Pitch Perfect	$17,000,000 	$65,001,093 	$115,331,177 
8/5/98	Halloween: H2O	$17,000,000 	$55,041,738 	$55,041,738 
4/5/13	Evil Dead	$17,000,000 	$54,239,856 	$97,402,049 
8/27/04	Jet Li's Hero	$17,000,000 	$53,652,140 	$177,352,140 
3/10/06	The Hills Have Eyes	$17,000,000 	$41,778,863 	$70,355,813 
3/1/02	40 Days and 40 Nights	$17,000,000 	$37,939,782 	$95,092,667 
10/10/03	Good Boy!	$17,000,000 	$37,667,746 	$45,312,217 
1/26/07	Smokin' Aces	$17,000,000 	$35,662,731 	$56,047,261 
10/2/98	A Night at the Roxbury	$17,000,000 	$30,331,165 	$30,331,165 
3/4/11	Beastly	$17,000,000 	$27,865,571 	$38,028,230 
3/5/10	Brooklyn's Finest	$17,000,000 	$27,163,593 	$39,233,233 
7/9/82	Tron	$17,000,000 	$26,918,576 	$26,918,576 
8/20/10	Lottery Ticket	$17,000,000 	$24,719,879 	$24,719,879 
9/5/03	Dickie Roberts: Former Child Star	$17,000,000 	$22,734,486 	$23,734,486 
3/31/06	ATL	$17,000,000 	$21,170,563 	$21,170,563 
8/24/01	Summer Catch	$17,000,000 	$19,693,891 	$19,693,891 
12/11/98	A Simple Plan	$17,000,000 	$16,316,273 	$16,316,273 
3/24/06	Larry the Cable Guy: Health Inspector	$17,000,000 	$15,680,099 	$15,680,099 
